Time (mins),Supernatant rep 1,Supernatant rep 2,Supernatant rep 3,Supernatant rep 4,Supernatant + 0.2mg/l dox rep 1,Supernatant + 0.2mg/l dox rep 2,Supernatant + 0.2mg/l dox rep 3,Supernatant + 0.2mg/l dox rep 4,Supernatant + glucose rep 1,Supernatant + glucose rep 2,Supernatant + glucose rep 3,Supernatant + glucose rep 4,Supernatant + glucose + 0.2mg/l dox rep 1,Supernatant + glucose + 0.2mg/l dox rep 2,Supernatant + glucose + 0.2mg/l dox rep 3,Supernatant + glucose + 0.2mg/l dox rep 4
20,0.001,0.000,0.001,0.001,0.001,-0.003,0.001,0.000,0.000,0.001,0.001,-0.002,0.001,0.000,-0.003,0.001
40,0.002,0.001,0.001,0.002,0.001,-0.005,0.001,0.001,0.001,0.001,0.002,-0.001,0.002,0.001,-0.003,0.002
60,0.003,0.002,0.002,0.002,0.001,-0.008,-0.002,0.001,0.002,0.003,0.003,-0.002,0.002,0.002,-0.002,0.003
80,0.004,0.002,0.002,0.003,0.002,-0.003,0.000,0.002,0.004,0.004,0.004,-0.001,0.003,0.003,-0.001,0.004
100,0.004,0.002,0.003,0.003,0.003,-0.002,0.003,0.003,0.006,0.006,0.006,0.003,0.005,0.005,0.000,0.006
120,0.005,0.003,0.003,0.004,0.005,-0.002,0.002,0.005,0.008,0.009,0.009,0.006,0.007,0.007,0.003,0.008
140,0.004,0.003,0.003,0.004,0.006,-0.001,0.003,0.006,0.010,0.011,0.012,0.008,0.009,0.010,0.004,0.010
160,0.006,0.004,0.004,0.004,0.007,-0.001,0.004,0.007,0.013,0.014,0.015,0.011,0.012,0.012,0.007,0.013
180,0.006,0.005,0.004,0.005,0.008,-0.001,0.004,0.008,0.017,0.018,0.019,0.014,0.015,0.014,0.009,0.015
200,0.007,0.005,0.005,0.005,0.008,0.002,0.007,0.009,0.020,0.022,0.023,0.018,0.017,0.017,0.012,0.018
220,0.007,0.006,0.005,0.006,0.009,0.005,0.009,0.010,0.024,0.025,0.026,0.022,0.020,0.020,0.014,0.021
240,0.007,0.006,0.005,0.006,0.011,0.004,0.007,0.011,0.028,0.030,0.031,0.027,0.023,0.023,0.017,0.025
260,0.009,0.006,0.006,0.006,0.011,0.006,0.010,0.012,0.032,0.035,0.035,0.031,0.026,0.026,0.021,0.029
280,0.009,0.007,0.006,0.007,0.013,0.006,0.010,0.013,0.037,0.039,0.040,0.036,0.031,0.031,0.025,0.034
300,0.009,0.007,0.007,0.007,0.014,0.009,0.011,0.015,0.043,0.046,0.047,0.043,0.036,0.035,0.030,0.039
320,0.007,0.008,0.007,0.008,0.014,0.008,0.011,0.015,0.048,0.051,0.053,0.049,0.041,0.040,0.034,0.044
340,0.009,0.008,0.007,0.008,0.015,0.009,0.012,0.016,0.055,0.058,0.059,0.055,0.045,0.045,0.040,0.050
360,0.011,0.008,0.008,0.009,0.015,0.007,0.012,0.016,0.061,0.065,0.066,0.062,0.051,0.051,0.045,0.056
380,0.010,0.009,0.009,0.009,0.016,0.008,0.012,0.017,0.068,0.071,0.072,0.068,0.057,0.057,0.050,0.062
400,0.011,0.009,0.009,0.009,0.017,0.008,0.011,0.017,0.074,0.078,0.079,0.076,0.065,0.064,0.058,0.071
420,0.011,0.010,0.009,0.010,0.017,0.008,0.012,0.018,0.080,0.084,0.085,0.082,0.071,0.071,0.064,0.077
440,0.011,0.010,0.010,0.010,0.017,0.009,0.012,0.018,0.085,0.089,0.090,0.088,0.079,0.078,0.071,0.085
460,0.014,0.012,0.010,0.011,0.018,0.009,0.015,0.018,0.088,0.093,0.094,0.090,0.084,0.084,0.077,0.090
480,0.014,0.012,0.011,0.011,0.018,0.010,0.015,0.019,0.094,0.098,0.099,0.096,0.089,0.089,0.083,0.097
500,0.014,0.012,0.011,0.012,0.019,0.010,0.015,0.019,0.098,0.102,0.103,0.100,0.095,0.094,0.086,0.101
520,0.014,0.014,0.012,0.013,0.019,0.011,0.015,0.020,0.102,0.107,0.107,0.104,0.100,0.099,0.090,0.106
540,0.015,0.015,0.012,0.014,0.020,0.010,0.014,0.021,0.106,0.110,0.111,0.108,0.105,0.104,0.096,0.111
560,0.015,0.014,0.013,0.014,0.021,0.010,0.014,0.022,0.110,0.115,0.116,0.112,0.110,0.109,0.101,0.116
580,0.016,0.023,0.014,0.015,0.022,0.010,0.015,0.023,0.114,0.119,0.120,0.117,0.114,0.113,0.105,0.121
600,0.016,0.027,0.014,0.015,0.023,0.014,0.017,0.023,0.117,0.123,0.124,0.119,0.117,0.117,0.108,0.124
620,0.018,0.017,0.015,0.016,0.023,0.015,0.018,0.025,0.121,0.127,0.127,0.123,0.122,0.121,0.112,0.129
640,0.017,0.019,0.016,0.017,0.024,0.014,0.018,0.025,0.125,0.131,0.131,0.126,0.126,0.125,0.117,0.133
660,0.021,0.018,0.016,0.017,0.025,0.016,0.022,0.026,0.129,0.135,0.136,0.130,0.130,0.129,0.120,0.137
680,0.019,0.019,0.017,0.018,0.026,0.016,0.020,0.027,0.133,0.138,0.139,0.135,0.136,0.134,0.126,0.142
700,0.019,0.020,0.019,0.019,0.027,0.016,0.019,0.028,0.136,0.142,0.143,0.139,0.140,0.139,0.130,0.147
720,0.021,0.020,0.018,0.019,0.027,0.019,0.023,0.029,0.140,0.145,0.147,0.141,0.144,0.143,0.133,0.150
740,0.021,0.022,0.018,0.020,0.028,0.018,0.023,0.030,0.143,0.149,0.150,0.143,0.147,0.145,0.136,0.154
760,0.021,0.021,0.019,0.020,0.028,0.021,0.027,0.030,0.146,0.152,0.153,0.146,0.151,0.149,0.140,0.157
780,0.022,0.022,0.020,0.020,0.029,0.020,0.023,0.031,0.149,0.155,0.156,0.149,0.155,0.153,0.143,0.161
800,0.021,0.022,0.020,0.022,0.030,0.020,0.024,0.032,0.153,0.158,0.161,0.152,0.160,0.158,0.147,0.166
820,0.022,0.025,0.020,0.022,0.030,0.023,0.027,0.033,0.155,0.161,0.163,0.156,0.164,0.162,0.151,0.169
840,0.023,0.023,0.021,0.022,0.031,0.023,0.027,0.034,0.157,0.164,0.166,0.157,0.168,0.165,0.154,0.178
860,0.023,0.027,0.022,0.022,0.031,0.023,0.029,0.034,0.161,0.167,0.169,0.160,0.171,0.168,0.157,0.176
880,0.024,0.039,0.021,0.022,0.032,0.022,0.025,0.035,0.162,0.169,0.171,0.162,0.176,0.173,0.160,0.179
900,0.024,0.024,0.022,0.026,0.033,0.022,0.025,0.036,0.166,0.173,0.176,0.168,0.178,0.177,0.163,0.184
920,0.023,0.025,0.022,0.022,0.034,0.023,0.027,0.037,0.168,0.175,0.177,0.170,0.181,0.179,0.165,0.186
940,0.024,0.033,0.022,0.023,0.035,0.024,0.029,0.037,0.172,0.178,0.182,0.171,0.186,0.183,0.170,0.190
960,0.025,0.026,0.023,0.023,0.035,0.025,0.030,0.038,0.173,0.181,0.184,0.174,0.188,0.187,0.173,0.193
980,0.025,0.026,0.022,0.024,0.036,0.026,0.031,0.039,0.176,0.183,0.187,0.178,0.192,0.191,0.176,0.201
1000,0.026,0.026,0.023,0.024,0.036,0.026,0.032,0.040,0.179,0.187,0.188,0.177,0.196,0.193,0.179,0.202
1020,0.024,0.026,0.023,0.025,0.037,0.029,0.034,0.041,0.181,0.189,0.192,0.183,0.199,0.196,0.182,0.204
1040,0.025,0.026,0.024,0.024,0.038,0.030,0.035,0.042,0.183,0.192,0.196,0.185,0.202,0.199,0.187,0.207
1060,0.026,0.027,0.024,0.024,0.039,0.027,0.031,0.043,0.187,0.193,0.199,0.189,0.206,0.203,0.187,0.210
1080,0.026,0.027,0.023,0.024,0.039,0.029,0.033,0.043,0.190,0.197,0.201,0.189,0.208,0.206,0.190,0.212
1100,0.025,0.028,0.024,0.024,0.040,0.030,0.034,0.044,0.192,0.199,0.203,0.191,0.211,0.208,0.193,0.215
1120,0.027,0.032,0.024,0.025,0.041,0.031,0.036,0.044,0.195,0.201,0.205,0.194,0.213,0.210,0.195,0.218
1140,0.027,0.028,0.024,0.025,0.041,0.030,0.037,0.045,0.196,0.204,0.208,0.196,0.216,0.213,0.197,0.223
1160,0.027,0.029,0.024,0.025,0.042,0.034,0.039,0.045,0.200,0.207,0.211,0.197,0.219,0.217,0.198,0.225
1180,0.027,0.028,0.024,0.025,0.043,0.032,0.037,0.046,0.201,0.210,0.213,0.202,0.222,0.219,0.201,0.227
1200,0.028,0.030,0.026,0.025,0.044,0.033,0.037,0.047,0.205,0.214,0.215,0.204,0.226,0.224,0.205,0.231
1220,0.027,0.032,0.024,0.026,0.044,0.032,0.036,0.048,0.206,0.214,0.218,0.204,0.229,0.226,0.208,0.232
1240,0.026,0.028,0.025,0.026,0.045,0.035,0.041,0.048,0.209,0.216,0.220,0.206,0.232,0.230,0.211,0.237
1260,0.028,0.029,0.025,0.026,0.046,0.035,0.039,0.049,0.211,0.218,0.221,0.207,0.234,0.230,0.212,0.237
1280,0.028,0.030,0.025,0.026,0.046,0.036,0.042,0.049,0.212,0.221,0.224,0.210,0.237,0.234,0.215,0.241
1300,0.027,0.029,0.025,0.026,0.047,0.037,0.042,0.050,0.214,0.223,0.226,0.212,0.240,0.236,0.217,0.244
1320,0.029,0.029,0.025,0.027,0.047,0.036,0.041,0.051,0.217,0.224,0.228,0.214,0.242,0.239,0.219,0.246
1340,0.027,0.030,0.026,0.027,0.048,0.035,0.040,0.051,0.220,0.227,0.230,0.215,0.245,0.242,0.222,0.249
1360,0.027,0.030,0.026,0.026,0.049,0.037,0.043,0.052,0.221,0.228,0.231,0.217,0.249,0.244,0.223,0.250
