Time,soxS drug-free rep 1,soxS drug-free rep 2,soxS drug-free rep 3,soxS 0.4mg/l dox rep 1,soxS 0.4mg/l dox rep 2,soxS 0.4mg/l dox rep 3,sodB drug-free rep 1,sodB drug-free rep 2,sodB drug-free rep 3,sodB 0.4mg/l dox rep 1,sodB 0.4mg/l dox rep 2,sodB 0.4mg/l dox rep 3,perR drug-free rep 1,perR drug-free rep 2,perR drug-free rep 3,perR 0.4mg/l dox rep 1,perR 0.4mg/l dox rep 2,perR 0.4mg/l dox rep 3
20,-0.001,-0.001,0.000,0.011,-0.001,-0.000,0.000,-0.001,-0.000,-0.003,-0.002,-0.001,0.000,-0.000,-0.001,-0.002,-0.001,-0.001
40,-0.001,-0.001,-0.000,0.011,-0.001,-0.000,-0.000,-0.001,-0.000,-0.003,-0.001,-0.000,-0.001,-0.001,0.000,-0.001,0.000,-0.001
60,-0.001,-0.002,-0.001,0.012,-0.002,-0.001,0.000,-0.001,-0.001,-0.003,-0.000,-0.000,-0.001,-0.000,-0.000,-0.001,-0.000,-0.001
80,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.000,-0.001,-0.001,-0.002,-0.003,-0.001,-0.000,0.001,0.000,0.001,-0.000,-0.001
100,-0.001,-0.002,-0.001,-0.001,-0.001,-0.000,-0.001,-0.001,-0.001,-0.002,-0.004,-0.001,-0.001,-0.001,0.000,0.001,0.001,-0.001
120,-0.001,-0.002,-0.002,0.001,-0.001,0.000,-0.001,-0.001,-0.001,-0.003,-0.001,-0.000,-0.000,-0.001,-0.000,0.001,0.001,-0.001
140,-0.001,-0.003,-0.002,0.002,-0.001,0.000,-0.001,-0.001,-0.001,-0.003,-0.002,-0.000,-0.001,-0.001,-0.000,0.000,0.001,-0.001
160,-0.001,-0.002,-0.002,0.002,-0.001,0.000,0.000,-0.001,-0.001,-0.002,-0.003,-0.000,-0.000,-0.000,-0.000,-0.001,0.001,-0.001
180,-0.001,-0.002,-0.001,0.004,-0.000,0.000,-0.000,-0.001,-0.001,-0.002,-0.004,-0.001,-0.001,-0.000,0.000,-0.001,0.002,-0.001
200,-0.001,-0.003,0.000,0.004,0.000,-0.000,-0.001,-0.001,-0.001,-0.002,-0.002,-0.000,-0.001,-0.001,0.000,-0.001,0.002,0.000
220,-0.002,-0.003,-0.002,0.005,0.000,0.000,-0.001,-0.001,-0.001,-0.002,-0.004,-0.000,-0.000,-0.001,-0.000,-0.001,0.002,0.000
240,-0.001,-0.003,-0.002,0.004,0.001,0.000,-0.000,-0.002,-0.001,-0.001,-0.003,-0.000,-0.001,-0.001,-0.000,0.001,0.004,0.000
260,-0.001,-0.003,-0.001,0.004,0.001,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,-0.001,-0.000,0.000,0.001,0.004,0.001
280,-0.001,-0.003,-0.002,0.004,0.001,0.000,-0.001,-0.001,-0.001,-0.001,-0.002,0.000,-0.001,-0.001,-0.000,0.001,0.005,0.002
300,-0.001,-0.003,-0.002,0.006,0.002,0.000,-0.000,-0.001,-0.001,0.001,-0.003,0.000,-0.001,-0.001,-0.001,0.001,0.006,0.002
320,-0.001,-0.003,-0.002,0.007,0.002,0.000,-0.000,-0.001,-0.001,0.002,-0.005,-0.000,-0.001,-0.001,-0.000,0.001,0.007,0.003
340,-0.001,-0.003,-0.001,0.007,0.003,0.000,-0.000,-0.001,-0.001,0.001,-0.001,0.001,-0.001,-0.000,-0.000,0.001,0.009,0.004
360,-0.001,-0.003,-0.002,0.010,0.004,0.000,-0.000,-0.001,-0.001,0.004,-0.004,0.001,-0.001,-0.000,-0.000,0.002,0.012,0.005
380,-0.001,-0.003,-0.002,0.012,0.005,0.000,-0.000,-0.001,-0.001,0.007,-0.005,0.001,-0.001,-0.000,-0.000,0.002,0.016,0.006
