Day,Replicate,WT (7x rrn),6 x rrn,5 x rrn,4 x rrn,3 x rrn,2 x rrn,1 x rrn
0,1,1920000,1360000,1760000,2360000,1560000,1840000,1840000
0,2,1040000,1960000,1400000,2240000,1280000,1320000,1880000
0,3,1280000,3040000,1480000,1800000,2440000,2840000,1160000
1,1,1530000000,856000000,608000000,1260000000,800000000,824000000,40000000
1,2,916000000,760000000,636000000,1410000000,940000000,880000000,44000000
1,3,976000000,1280000000,724000000,1120000000,724000000,820000000,40000000
2,1,1260000000,544000000,1248000000,1460000000,688000000,776000000,132000000
2,2,1004000000,620000000,896000000,816000000,1144000000,532000000,176000000
2,3,756000000,1020000000,804000000,1336000000,796000000,756000000,140000000
3,1,464000000,928000000,728000000,940000000,1204000000,440000000,160000000
3,2,588000000,488000000,1032000000,780000000,1540000000,752000000,160000000
3,3,320000000,516000000,1488000000,396000000,904000000,620000000,140000000
4,1,928000000,768000000,1152000000,1064000000,1428000000,792000000,324000000
4,2,840000000,692000000,1484000000,1180000000,992000000,948000000,352000000
4,3,684000000,1004000000,724000000,912000000,1396000000,1208000000,248000000
5,1,556000000,656000000,1268000000,1436000000,1508000000,904000000,368000000
5,2,512000000,896000000,1604000000,1384000000,1000000000,1080000000,556000000
5,3,628000000,1004000000,1060000000,1216000000,1280000000,940000000,384000000
8,1,412000000,572000000,1352000000,828000000,604000000,264000000,128000000
8,2,416000000,924000000,656000000,884000000,1044000000,236000000,64000000
8,3,948000000,1148000000,1260000000,876000000,1172000000,164000000,184000000
14,1,608000000,1516000000,1440000000,1144000000,1232000000,29600000,33200000
14,2,448000000,1536000000,1720000000,1320000000,1384000000,10800000,20000000
14,3,464000000,1516000000,1748000000,1204000000,1340000000,25200000,14400000
